CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_CAB,NOM_CAB
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes
1,Aguascalientes,2,Asientos,1,Asientos
1,Aguascalientes,3,Calvillo,1,Calvillo
1,Aguascalientes,4,Cosío,1,Cosío
1,Aguascalientes,5,Jesús María,1,Jesús María
1,Aguascalientes,6,Pabellón de Arteaga,1,Pabellón de Arteaga
1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos
1,Aguascalientes,8,San José de Gracia,1,San José de Gracia
1,Aguascalientes,9,Tepezalá,1,Tepezalá
1,Aguascalientes,10,El Llano,1,Palo Alto
1,Aguascalientes,11,San Francisco de los Romo,1,San Francisco de los Romo
2,Baja California,12,Ensenada,1,Ensenada
2,Baja California,13,Mexicali,1,Mexicali
2,Baja California,14,Tecate,1,Tecate
2,Baja California,15,Tijuana,1,Tijuana
2,Baja California,16,Playas de Rosarito,1,Playas de Rosarito
3,Baja California Sur,17,Comondú,1,Ciudad Constitución
3,Baja California Sur,18,Mulegé,1,Santa Rosalía
3,Baja California Sur,19,La Paz,1,La Paz
3,Baja California Sur,20,Los Cabos,1,San José del Cabo
3,Baja California Sur,21,Loreto,1,Loreto
4,Campeche,22,Calkiní,1,Calkiní
4,Campeche,23,Campeche,1,San Francisco de Campeche
4,Campeche,24,Carmen,1,Ciudad del Carmen
4,Campeche,25,Champotón,1,Champotón
4,Campeche,26,Hecelchakán,1,Hecelchakán
4,Campeche,27,Hopelchén,1,Hopelchén
4,Campeche,28,Palizada,1,Palizada
4,Campeche,29,Tenabo,1,Tenabo
4,Campeche,30,Escárcega,1,Escárcega
4,Campeche,31,Calakmul,1,Xpujil
4,Campeche,32,Candelaria,1,Candelaria
5,Coahuila de Zaragoza,33,Abasolo,1,Abasolo
5,Coahuila de Zaragoza,34,Acuña,1,Ciudad Acuña
5,Coahuila de Zaragoza,35,Allende,1,Allende
5,Coahuila de Zaragoza,36,Arteaga,1,Arteaga
5,Coahuila de Zaragoza,37,Candela,1,Candela
5,Coahuila de Zaragoza,38,Castaños,1,Castaños
5,Coahuila de Zaragoza,39,Cuatro Ciénegas,1,Cuatro Ciénegas de Carranza
5,Coahuila de Zaragoza,40,Escobedo,1,Escobedo
5,Coahuila de Zaragoza,41,Francisco I. Madero,1,Francisco I. Madero (Chávez)
5,Coahuila de Zaragoza,42,Frontera,1,Frontera
5,Coahuila de Zaragoza,43,General Cepeda,1,General Cepeda
5,Coahuila de Zaragoza,44,Guerrero,1,Guerrero
5,Coahuila de Zaragoza,45,Hidalgo,1,Hidalgo
5,Coahuila de Zaragoza,46,Jiménez,1,Jiménez
5,Coahuila de Zaragoza,47,Juárez,1,Juárez
5,Coahuila de Zaragoza,48,Lamadrid,1,Lamadrid
5,Coahuila de Zaragoza,49,Matamoros,1,Matamoros
5,Coahuila de Zaragoza,50,Monclova,1,Monclova
5,Coahuila de Zaragoza,51,Morelos,1,Morelos
5,Coahuila de Zaragoza,52,Múzquiz,1,Ciudad Melchor Múzquiz
5,Coahuila de Zaragoza,53,Nadadores,1,Nadadores
5,Coahuila de Zaragoza,54,Nava,1,Nava
5,Coahuila de Zaragoza,55,Ocampo,1,Ocampo
5,Coahuila de Zaragoza,56,Parras,1,Parras de la Fuente
5,Coahuila de Zaragoza,57,Piedras Negras,1,Piedras Negras
5,Coahuila de Zaragoza,58,Progreso,1,Progreso
5,Coahuila de Zaragoza,59,Ramos Arizpe,1,Ramos Arizpe
5,Coahuila de Zaragoza,60,Sabinas,1,Sabinas
5,Coahuila de Zaragoza,61,Sacramento,1,Sacramento
5,Coahuila de Zaragoza,62,Saltillo,1,Saltillo
5,Coahuila de Zaragoza,63,San Buenaventura,1,San Buenaventura
5,Coahuila de Zaragoza,64,San Juan de Sabinas,14,Nueva Rosita
5,Coahuila de Zaragoza,65,San Pedro,1,San Pedro
5,Coahuila de Zaragoza,66,Sierra Mojada,1,Sierra Mojada
5,Coahuila de Zaragoza,67,Torreón,1,Torreón
5,Coahuila de Zaragoza,68,Viesca,1,Viesca
5,Coahuila de Zaragoza,69,Villa Unión,1,Villa Unión
5,Coahuila de Zaragoza,70,Zaragoza,1,Zaragoza
6,Colima,71,Armería,1,Ciudad de Armería
6,Colima,72,Colima,1,Colima
6,Colima,73,Comala,1,Comala
6,Colima,74,Coquimatlán,1,Coquimatlán
6,Colima,75,Cuauhtémoc,1,Cuauhtémoc
6,Colima,76,Ixtlahuacán,1,Ixtlahuacán
6,Colima,77,Manzanillo,1,Manzanillo
6,Colima,78,Minatitlán,1,Minatitlán
6,Colima,79,Tecomán,1,Tecomán
6,Colima,80,Villa de Álvarez,1,Ciudad de Villa de Álvarez
7,Chiapas,81,Acacoyagua,1,Acacoyagua
7,Chiapas,82,Acala,1,Acala
7,Chiapas,83,Acapetahua,1,Acapetahua
7,Chiapas,84,Altamirano,1,Altamirano
7,Chiapas,85,Amatán,1,Amatán
7,Chiapas,86,Amatenango de la Frontera,1,Amatenango de la Frontera
7,Chiapas,87,Amatenango del Valle,1,Amatenango del Valle
7,Chiapas,88,Angel Albino Corzo,1,Jaltenango de la Paz (Angel Albino Corzo)
7,Chiapas,89,Arriaga,1,Arriaga
7,Chiapas,90,Bejucal de Ocampo,1,Bejucal de Ocampo
7,Chiapas,91,Bella Vista,1,Bella Vista
7,Chiapas,92,Berriozábal,1,Berriozábal
7,Chiapas,93,Bochil,1,Bochil
7,Chiapas,94,El Bosque,1,El Bosque
7,Chiapas,95,Cacahoatán,1,Cacahoatán
7,Chiapas,96,Catazajá,1,Catazajá
7,Chiapas,97,Cintalapa,1,Cintalapa de Figueroa
7,Chiapas,98,Coapilla,1,Coapilla
7,Chiapas,99,Comitán de Domínguez,1,Comitán de Domínguez
7,Chiapas,100,La Concordia,1,La Concordia
7,Chiapas,101,Copainalá,1,Copainalá
7,Chiapas,102,Chalchihuitán,1,Chalchihuitán
7,Chiapas,103,Chamula,1,Chamula
7,Chiapas,104,Chanal,1,Chanal
7,Chiapas,105,Chapultenango,1,Chapultenango
7,Chiapas,106,Chenalhó,1,Chenalhó
7,Chiapas,107,Chiapa de Corzo,1,Chiapa de Corzo
7,Chiapas,108,Chiapilla,1,Chiapilla
7,Chiapas,109,Chicoasén,1,Chicoasén
7,Chiapas,110,Chicomuselo,1,Chicomuselo
7,Chiapas,111,Chilón,1,Chilón
7,Chiapas,112,Escuintla,1,Escuintla
7,Chiapas,113,Francisco León,42,Rivera el Viejo Carmen
7,Chiapas,114,Frontera Comalapa,1,Frontera Comalapa
7,Chiapas,115,Frontera Hidalgo,1,Frontera Hidalgo
7,Chiapas,116,La Grandeza,1,La Grandeza
7,Chiapas,117,Huehuetán,1,Huehuetán
7,Chiapas,118,Huixtán,1,Huixtán
7,Chiapas,119,Huitiupán,1,Huitiupán
7,Chiapas,120,Huixtla,1,Huixtla
7,Chiapas,121,La Independencia,1,La Independencia
7,Chiapas,122,Ixhuatán,1,Ixhuatán
7,Chiapas,123,Ixtacomitán,1,Ixtacomitán
7,Chiapas,124,Ixtapa,1,Ixtapa
7,Chiapas,125,Ixtapangajoya,1,Ixtapangajoya
7,Chiapas,126,Jiquipilas,1,Jiquipilas
7,Chiapas,127,Jitotol,1,Jitotol
7,Chiapas,128,Juárez,1,Juárez
7,Chiapas,129,Larráinzar,1,Larráinzar
7,Chiapas,130,La Libertad,1,La Libertad
7,Chiapas,131,Mapastepec,1,Mapastepec
7,Chiapas,132,Las Margaritas,1,Las Margaritas
7,Chiapas,133,Mazapa de Madero,1,Mazapa de Madero
7,Chiapas,134,Mazatán,1,Mazatán
7,Chiapas,135,Metapa,1,Metapa de Domínguez
7,Chiapas,136,Mitontic,1,Mitontic
7,Chiapas,137,Motozintla,1,Motozintla de Mendoza
7,Chiapas,138,Nicolás Ruíz,1,Nicolás Ruíz
7,Chiapas,139,Ocosingo,1,Ocosingo
7,Chiapas,140,Ocotepec,1,Ocotepec
7,Chiapas,141,Ocozocoautla de Espinosa,1,Ocozocoautla de Espinosa
7,Chiapas,142,Ostuacán,1,Ostuacán
7,Chiapas,143,Osumacinta,1,Osumacinta
7,Chiapas,144,Oxchuc,1,Oxchuc
7,Chiapas,145,Palenque,1,Palenque
7,Chiapas,146,Pantelhó,1,Pantelhó
7,Chiapas,147,Pantepec,1,Pantepec
7,Chiapas,148,Pichucalco,1,Pichucalco
7,Chiapas,149,Pijijiapan,1,Pijijiapan
7,Chiapas,150,El Porvenir,1,El Porvenir de Velasco Suárez
7,Chiapas,151,Villa Comaltitlán,1,Villa Comaltitlán
7,Chiapas,152,Pueblo Nuevo Solistahuacán,1,Pueblo Nuevo Solistahuacán
7,Chiapas,153,Rayón,1,Rayón
7,Chiapas,154,Reforma,1,Reforma
7,Chiapas,155,Las Rosas,1,Las Rosas
7,Chiapas,156,Sabanilla,1,Sabanilla
7,Chiapas,157,Salto de Agua,1,Salto de Agua
7,Chiapas,158,San Cristóbal de las Casas,1,San Cristóbal de las Casas
7,Chiapas,159,San Fernando,1,San Fernando
7,Chiapas,160,Siltepec,1,Siltepec
7,Chiapas,161,Simojovel,1,Simojovel de Allende
7,Chiapas,162,Sitalá,1,Sitalá
7,Chiapas,163,Socoltenango,1,Socoltenango
7,Chiapas,164,Solosuchiapa,1,Solosuchiapa
7,Chiapas,165,Soyaló,1,Soyaló
7,Chiapas,166,Suchiapa,1,Suchiapa
7,Chiapas,167,Suchiate,1,Ciudad Hidalgo
7,Chiapas,168,Sunuapa,1,Sunuapa
7,Chiapas,169,Tapachula,1,Tapachula de Córdova y Ordóñez
7,Chiapas,170,Tapalapa,1,Tapalapa
7,Chiapas,171,Tapilula,1,Tapilula
7,Chiapas,172,Tecpatán,1,Tecpatán
7,Chiapas,173,Tenejapa,1,Tenejapa
7,Chiapas,174,Teopisca,1,Teopisca
7,Chiapas,175,Tila,1,Tila
7,Chiapas,176,Tonalá,1,Tonalá
7,Chiapas,177,Totolapa,1,Totolapa
7,Chiapas,178,La Trinitaria,1,La Trinitaria
7,Chiapas,179,Tumbalá,1,Tumbalá
